user_id,article_1,article_2,article_3,article_4,article_5
200000,235276,84914,70999,256026,87696
200001,272143,225019,225055,64329,119193
200002,301030,236338,300470,283764,199114
200003,225019,199474,255354,50569,292390
200004,158082,124350,293301,123289,337082
200005,182394,214206,160417,272143,160974
200006,336245,215993,96210,96755,183176
200007,70646,50504,235230,215613,271551
200008,235616,166377,352901,159938,129029
200009,162655,271551,160417,198659,64329
200010,162655,158536,272143,160974,218337
200011,272143,162655,198659,166581,160974
200012,124228,36394,123818,159790,233478
200013,63307,272143,233595,289090,214631
200014,162765,272143,160417,124749,199197
200015,331187,175040,234268,224658,58565
200016,159529,337441,233742,20691,59057
200017,63307,161100,71113,156560,337435
200018,336220,293114,289090,234698,36605
200019,273395,121834,272660,64329,272143
200020,111210,284452,285435,276970,284547
200021,162655,160417,64329,166581,271551
200022,160940,301030,336221,272143,234813
200023,156964,159790,156808,285343,215674
200024,87224,156624,87192,124751,336221
200025,348111,285808,160417,162655,156624
200026,0,96210,292390,54496,160557
200027,313431,158082,84914,59817,160974
200028,235616,234269,272143,235854,237618
200029,208150,285719,156723,157078,207311
200030,160417,156624,313431,156447,300470
200031,272143,124749,337890,124748,160417
200032,162765,272143,160417,218337,162655
200033,16129,324823,272143,214206,48403
200034,156624,124350,87231,124748,348140
200035,161506,323974,69932,234813,236338
200036,235230,236338,158192,206934,156624
200037,108856,128551,272761,209653,199766
200038,272143,162655,48403,31836,235616
200039,225124,225055,0,234813,277133
200040,272143,160417,36605,324823,300470
200041,183176,235230,235616,159938,234269
200042,237524,285379,156624,111210,168623
200043,156624,159762,313431,111210,71076
200044,159938,183176,235616,234267,119534
200045,208145,352983,96077,70999,124228
200046,123613,283437,289003,255688,57966
200047,214206,96755,124549,272143,182394
200048,0,96210,54496,168623,292390
200049,313431,124228,158047,338350,73506
200050,87224,87236,160974,161439,233658
200051,162655,160417,166581,64329,198659
200052,276970,234413,129029,236338,160417
200053,272143,64329,235854,162655,224658
200054,272143,160417,285808,198659,273395
200055,235230,276970,70646,236338,206934
200056,161425,120967,284547,293301,158915
200057,160417,59758,87236,133287,285663
200058,182394,214206,162655,224658,64329
200059,235616,58565,288321,234269,119534
200060,348111,233717,96077,42883,156560
200061,129029,276970,284547,160417,289126
200062,108855,59758,87224,202299,208082
200063,271551,70646,156447,156624,313431
200064,0,96210,54496,292390,160557
200065,156619,214800,129029,58193,156447
200066,224658,272143,303331,218337,336380
200067,288321,234269,235616,271261,158772
200068,124350,96755,276970,233478,141000
200069,236338,156723,63307,288320,285342
200070,272143,235616,156624,168623,162655
200071,58580,124176,209294,157078,225010
200072,272143,31836,59057,158192,235230
200073,124352,123818,123909,124748,87192
200074,293301,297639,233717,257291,161439
200075,64329,123818,160417,124352,124350
200076,336476,272143,284547,285719,156624
200077,272143,156624,284985,124748,235616
200078,64329,199198,166581,162655,160417
200079,63304,156447,300470,285343,315146
200080,300473,256026,225019,255354,149706
200081,271551,272218,336380,42693,283009
200082,272143,160417,124749,199197,162765
200083,158882,156624,313431,235230,336223
200084,161506,39894,352901,289090,97530
200085,272143,297906,62567,209653,303331
200086,324823,156624,124176,123826,156447
200087,324823,288321,63307,272143,299697
200088,272143,162765,160417,124749,313431
200089,157478,284547,236338,158192,206168
200090,111210,182394,233717,58606,198659
200091,160417,162655,300470,236171,272143
200092,233478,160132,233717,124176,123818
200093,271551,284547,235230,313431,289003
200094,214206,59057,162655,160417,31836
200095,352983,83534,254740,298687,235689
200096,111210,156723,236338,124350,39894
200097,234813,271261,336223,225019,324823
200098,351884,124734,42693,283996,70195
200099,236338,58606,313431,214206,160132
200100,156560,235652,283764,235525,348112
200101,42298,156808,42727,156447,361894
200102,70646,162655,272143,87224,156624
200103,286108,111210,354086,272143,235854
200104,288440,324823,64329,236566,87224
200105,87224,233658,87228,214206,87236
200106,58580,225019,271261,284547,64329
200107,209348,303331,234987,31633,202644
200108,337441,324823,198659,160417,162655
200109,0,162655,119193,300128,183176
200110,293114,123826,124350,313996,338340
200111,161506,257291,36394,289090,141004
200112,348111,161506,272143,300470,156723
200113,324823,348111,299152,285808,277068
200114,272143,123613,336380,123818,352983
200115,272143,162765,313431,160417,162655
200116,162765,156447,160132,58606,285343
200117,288321,129029,29953,161506,63307
200118,36394,285808,199114,162300,199855
200119,160417,284547,235230,272143,162765
200120,235804,235524,31520,195009,70214
200121,36605,119193,352902,183176,272660
200122,161506,159938,63307,237524,235230
200123,87224,235230,313431,87236,87231
200124,215993,324823,336220,285343,156447
200125,156624,285435,124749,348111,284452
200126,157078,286321,285719,285342,161602
200127,160417,284547,313431,233658,87224
200128,161506,283505,284096,158772,283009
200129,160417,162765,284547,272143,87224
200130,272143,156624,284985,124748,235616
200131,95977,58606,233478,124350,313431
200132,284547,272218,276970,162338,39894
200133,313431,272143,235230,87224,156624
200134,58606,235230,276946,271551,63307
200135,160132,59057,337441,214206,133160
200136,158915,235824,195009,303565,284422
200137,161506,236338,235230,96755,70646
200138,271551,324823,198659,235230,63307
200139,0,96210,54496,292390,233688
200140,288435,215674,283627,235616,300082
200141,161506,285343,271551,313431,298310
200142,160132,276946,83565,297639,233478
200143,285343,160974,65991,235824,64409
200144,337082,273395,272660,199198,145472
